Price,Close,High,Low,Open,Volume,Date,Return,Daily_Range,MA_7,MA_30,Volatility_7,Year,Month,DayOfWeek,Lag_1,Lag_7,Volume_MA_7
2025-03-17,27.02532958984375,27.39262767448532,26.580707727327177,26.98666770090625,141500,2025-03-17,0.007567499609070438,0.8119199471581418,26.555853979928152,26.660934448242188,0.014136133333528946,2025,3,0,26.82235145568848,26.30040168762207,193328.57142857142
2025-03-18,27.84691619873047,27.924241822216885,26.348731552335533,26.95767060684253,279400,2025-03-18,0.03040061384470505,1.5755102698813523,26.713266917637416,26.689609336853028,0.016852346692018755,2025,3,1,27.02532958984375,26.745025634765625,207871.42857142858
2025-03-19,28.378530502319336,28.504183944839703,27.692264004219417,27.8662471120078,231100,2025-03-19,0.019090598750503673,0.8119199406202853,26.978383472987584,26.744059499104818,0.016168099258565733,2025,3,2,27.84691619873047,26.522714614868164,208571.42857142858
2025-03-20,28.39786148071289,28.890813021510017,28.037331199260368,28.18521647714068,193100,2025-03-20,0.0006811832061555112,0.8534818222496483,27.25868879045759,26.797865295410155,0.01569561843389429,2025,3,3,28.378530502319336,26.43572425842285,205271.42857142858
2025-03-21,27.469953536987305,28.34856713995009,26.89001044913009,28.059562558060765,759800,2025-03-21,-0.03267527536732995,1.45855669082,27.475476673671178,26.801731554667153,0.020334540346617767,2025,3,4,28.39786148071289,25.952438354492188,289357.14285714284
2025-03-24,27.36363220214844,27.933909400282925,27.153887150482703,27.421627805869107,137800,2025-03-24,-0.0038704592163109064,0.7800222498002221,27.614939280918666,26.793032519022624,0.0204039990757425,2025,3,0,27.469953536987305,26.387393951416016,276871.4285714286
2025-03-25,27.237977981567383,27.55694641870305,27.00600110397675,27.344301408475385,174700,2025-03-25,-0.004592015403978134,0.5509453147262988,27.674314498901367,26.764357630411784,0.020044717232770567,2025,3,1,27.36363220214844,26.82235145568848,273914.28571428574
2025-03-26,26.667701721191406,27.46028987458397,26.580710158639693,27.26697488144941,131000,2025-03-26,-0.020936805983244988,0.8795797159442778,27.623224803379603,26.727628008524576,0.021644727892458446,2025,3,2,27.237977981567383,27.02532958984375,272414.28571428574
2025-03-27,27.46028709411621,27.51828084874911,26.50821389125073,26.62903528882906,147500,2025-03-27,0.029720797885442796,1.0100669574983812,27.567992074148997,26.718606503804526,0.021477570326640355,2025,3,3,26.667701721191406,27.84691619873047,253571.42857142858
2025-03-28,25.56580924987793,27.721262606386382,25.15018333447468,27.508615760223822,347400,2025-03-28,-0.068989731889737,2.571079271911703,27.166174752371653,26.63644790649414,0.030924387154841585,2025,3,4,27.46028709411621,28.378530502319336,270185.71428571426
2025-03-31,24.521913528442383,25.31450166185437,24.106287594192597,25.17918043263617,365100,2025-03-31,-0.04083171047834255,1.2082140676617712,26.612467902047293,26.565243848164876,0.03152920363883297,2025,3,0,25.56580924987793,28.39786148071289,294757.14285714284
2025-04-01,24.39625740051269,24.628234272357314,23.934235737358893,24.39625740051269,243000,2025-04-01,-0.005124238277080084,0.6939985349984212,26.173368453979492,26.48630714416504,0.03144798684924497,2025,4,1,24.521913528442383,27.469953536987305,220928.57142857142
2025-04-02,24.425254821777344,24.50548040887196,23.86947564080793,24.164280153656662,230900,2025-04-02,0.0011886012181541172,0.63600476806403,25.75360025678362,26.424124336242677,0.031838954915120225,2025,4,2,24.39625740051269,27.36363220214844,234228.57142857142
2025-04-03,22.434118270874023,23.78248563372886,21.361225415813824,23.632668266915022,507000,2025-04-03,-0.08151958149185978,2.4212602179150373,25.067334583827428,26.287515513102214,0.03969277408584435,2025,4,3,24.425254821777344,27.237977981567383,281700.0
2025-04-04,21.53520774841309,22.36065967040407,20.568636514808,21.834844314625933,541200,2025-04-04,-0.040068903605094186,1.7920231555960697,24.33412115914481,26.14285208384196,0.03989266148518651,2025,4,4,22.434118270874023,26.667701721191406,340300.0
2025-04-07,20.375324249267575,22.08615600348072,20.18200923931781,20.829612125984383,481400,2025-04-07,-0.05385987043616913,1.9041467641629097,23.32198360988072,25.967580540974936,0.030707725976594973,2025,4,0,21.53520774841309,27.46028709411621,388000.0
2025-04-08,20.186840057373047,21.48687767855613,20.0756845888188,20.95526424745525,479300,2025-04-08,-0.009250610669486847,1.4111930897373313,22.55355943952288,25.75992883046468,0.030028334066244167,2025,4,1,20.375324249267575,25.56580924987793,406842.85714285716
2025-04-09,22.11515045166016,22.395457012553905,19.911369075644476,20.08535220398012,455000,2025-04-09,0.09552314224547565,2.484087936909429,22.209736142839706,25.613976542154948,0.05649664452766926,2025,4,2,20.186840057373047,24.521913528442383,419685.71428571426
2025-04-10,21.37572479248047,21.68019527835828,20.72328988061653,21.68019527835828,284800,2025-04-10,-0.03343525339318609,0.9569053977417497,21.778231484549387,25.444987742106118,0.056826073476653145,2025,4,3,22.11515045166016,24.39625740051269,425657.14285714284
2025-04-11,23.023727416992188,23.37652571023965,21.30323173176281,21.45788298788257,454700,2025-04-11,0.07709692375397026,2.0732939784768405,21.578013283865793,25.336731719970704,0.06724086944801846,2025,4,4,21.37572479248047,24.425254821777344,457628.5714285714
